make: 'bandwidthTest' is up to date.
./bandwidthTest --device=0 --memory=pinned --mode=range --start=1024 --end=67108864 --increment=524288 --htod --csv
[CUDA Bandwidth Test] - Starting...
Running on...

 Device 0: NVIDIA GeForce RTX 3050 Ti Laptop GPU
 Range Mode

Type,Bandwidth(MB/s),Time(sec),Size(bytes),NumDevs
D2H-Pinned,6429.0,0.00241,16253952,1
D2H-Pinned,6428.8,0.00249,16778240,1
D2H-Pinned,6429.2,0.00257,17302528,1
D2H-Pinned,6429.4,0.00264,17826816,1
D2H-Pinned,6429.9,0.00272,18351104,1
D2H-Pinned,6428.9,0.00280,18875392,1
D2H-Pinned,6430.2,0.00288,19399680,1
D2H-Pinned,6429.8,0.00296,19923968,1
D2H-Pinned,6430.1,0.00303,20448256,1
D2H-Pinned,6430.3,0.00311,20972544,1
D2H-Pinned,6429.8,0.00319,21496832,1
D2H-Pinned,6429.9,0.00327,22021120,1
D2H-Pinned,6431.1,0.00334,22545408,1
D2H-Pinned,6430.9,0.00342,23069696,1
D2H-Pinned,6430.9,0.00350,23593984,1
D2H-Pinned,6430.1,0.00358,24118272,1
D2H-Pinned,6431.2,0.00365,24642560,1
D2H-Pinned,6424.7,0.00374,25166848,1
D2H-Pinned,6424.2,0.00381,25691136,1
D2H-Pinned,6417.7,0.00390,26215424,1
D2H-Pinned,6425.3,0.00397,26739712,1
D2H-Pinned,6423.2,0.00405,27264000,1
D2H-Pinned,6429.2,0.00412,27788288,1
D2H-Pinned,6430.3,0.00420,28312576,1
D2H-Pinned,6431.2,0.00428,28836864,1
D2H-Pinned,6431.9,0.00435,29361152,1
D2H-Pinned,6431.5,0.00443,29885440,1
D2H-Pinned,6431.0,0.00451,30409728,1
D2H-Pinned,6431.9,0.00459,30934016,1
D2H-Pinned,6427.6,0.00467,31458304,1
D2H-Pinned,6431.7,0.00474,31982592,1
D2H-Pinned,6431.7,0.00482,32506880,1
D2H-Pinned,6431.6,0.00490,33031168,1
D2H-Pinned,6432.0,0.00498,33555456,1
D2H-Pinned,6431.7,0.00505,34079744,1
D2H-Pinned,6419.7,0.00514,34604032,1
D2H-Pinned,6431.6,0.00521,35128320,1
D2H-Pinned,6432.0,0.00529,35652608,1
D2H-Pinned,6431.6,0.00536,36176896,1
D2H-Pinned,6432.1,0.00544,36701184,1
